epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/l1_loss,train/rle_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/l1_loss,val/rle_loss,lr/pg0,lr/pg1,lr/pg2
47,39739.5,0.65312,0.81696,0.28162,0.48673,0.00825,1.18673,0.9751,0.93516,0.98092,0.91102,0.95933,0.9123,0.9514,0.93549,0.42078,0.51488,0.02862,0.24497,0.00763,0,0.005446,0.005446,0.005446
48,40366.6,0.69893,0.92071,0.28884,0.50992,0.00883,1.91843,0.9746,0.93594,0.98113,0.91145,0.95982,0.91184,0.95159,0.93581,0.41953,0.51329,0.02858,0.24295,0.00761,0,0.005347,0.005347,0.005347
49,41554.1,0.65141,0.81272,0.2808,0.48581,0.00821,1.1575,0.97483,0.93603,0.98111,0.91153,0.95883,0.91263,0.95159,0.93578,0.41947,0.51328,0.02834,0.2429,0.00761,0,0.005248,0.005248,0.005248
50,42180.9,0.69873,0.9235,0.2891,0.50849,0.00882,1.92798,0.97299,0.93755,0.98079,0.91153,0.95893,0.91387,0.95175,0.93617,0.41854,0.50868,0.02828,0.24471,0.00759,0,0.005149,0.005149,0.005149
51,43367.9,0.64872,0.80702,0.28067,0.48243,0.00819,1.12201,0.97369,0.93727,0.98082,0.91155,0.95934,0.91364,0.95178,0.9362,0.41848,0.50966,0.0283,0.24477,0.00759,0,0.00505,0.00505,0.00505
52,43996.5,0.69305,0.9108,0.28797,0.50455,0.00874,1.79858,0.97219,0.93895,0.98111,0.91204,0.95953,0.91262,0.95223,0.93669,0.41788,0.50633,0.02838,0.24147,0.00758,0,0.004951,0.004951,0.004951
53,45175.3,0.64791,0.8054,0.27961,0.48229,0.00816,1.09603,0.97256,0.93881,0.98121,0.91212,0.9592,0.91359,0.95248,0.9368,0.41785,0.50585,0.02817,0.24099,0.00758,0,0.004852,0.004852,0.004852
54,45802.5,0.69439,0.91224,0.28852,0.50355,0.00878,1.83452,0.97236,0.93997,0.98121,0.91219,0.96058,0.91442,0.95275,0.9372,0.41671,0.50055,0.02839,0.24106,0.00756,0,0.004753,0.004753,0.004753
55,46980.8,0.64797,0.80567,0.27994,0.48161,0.00817,1.08803,0.97039,0.94169,0.98127,0.9123,0.96043,0.914,0.95273,0.93722,0.41687,0.50031,0.0283,0.24055,0.00756,0,0.004654,0.004654,0.004654
56,47608.3,0.68755,0.8997,0.28643,0.49953,0.00866,1.71439,0.97041,0.94265,0.98146,0.9127,0.96044,0.91451,0.95379,0.93818,0.41575,0.4978,0.02829,0.2388,0.00754,0,0.004555,0.004555,0.004555
57,48777.5,0.64657,0.80228,0.27979,0.48072,0.00815,1.05932,0.96982,0.9429,0.98145,0.91278,0.96036,0.91483,0.9539,0.93822,0.41564,0.49729,0.02834,0.23826,0.00754,0,0.004456,0.004456,0.004456
58,49405.2,0.68787,0.89684,0.28648,0.49962,0.00869,1.71857,0.97089,0.94219,0.98146,0.91304,0.96038,0.91515,0.9538,0.93824,0.41478,0.49701,0.02827,0.2394,0.00752,0,0.004357,0.004357,0.004357
59,50571.2,0.64686,0.80306,0.27864,0.48073,0.00814,1.05969,0.97243,0.94066,0.98148,0.91306,0.96037,0.91506,0.95382,0.93837,0.41509,0.49748,0.02837,0.23844,0.00752,0,0.004258,0.004258,0.004258
60,51198.8,0.6827,0.88833,0.28645,0.49759,0.00861,1.67926,0.97218,0.94028,0.98157,0.91318,0.95907,0.91607,0.95376,0.93815,0.41448,0.49691,0.02845,0.23834,0.00751,0,0.004159,0.004159,0.004159
61,52363.9,0.64611,0.79927,0.27906,0.4792,0.00814,1.03017,0.97196,0.94037,0.98165,0.91324,0.96047,0.91506,0.95399,0.93827,0.4145,0.49736,0.02842,0.23776,0.00751,0,0.00406,0.00406,0.00406
62,52990.3,0.68395,0.88613,0.28548,0.49697,0.00863,1.67375,0.97003,0.94216,0.98155,0.9134,0.96051,0.91491,0.95366,0.93878,0.41356,0.49577,0.02833,0.2387,0.00749,0,0.003961,0.003961,0.003961
63,54150.5,0.6451,0.79752,0.27917,0.47872,0.00814,1.02233,0.97288,0.93855,0.98167,0.91344,0.96083,0.91437,0.95356,0.93874,0.41368,0.49554,0.02834,0.2383,0.0075,0,0.003862,0.003862,0.003862
64,54778,0.67871,0.87118,0.28332,0.49172,0.00855,1.55643,0.97223,0.94018,0.98161,0.91362,0.9597,0.91662,0.95397,0.93898,0.41306,0.49559,0.02834,0.23857,0.00748,0,0.003763,0.003763,0.003763
65,55942.6,0.64277,0.79273,0.27828,0.47608,0.00809,0.98699,0.97289,0.93874,0.98171,0.91359,0.96096,0.91468,0.95421,0.93909,0.41308,0.49561,0.02837,0.23739,0.00748,0,0.003664,0.003664,0.003664
66,56570.7,0.67547,0.86798,0.28311,0.49051,0.00849,1.5328,0.97319,0.93888,0.98146,0.91385,0.96153,0.91584,0.95454,0.93937,0.4121,0.49348,0.02849,0.23863,0.00746,0,0.003565,0.003565,0.003565
67,57775.5,0.64221,0.79189,0.27719,0.47569,0.00809,0.97241,0.97274,0.9398,0.98162,0.9139,0.96136,0.91523,0.95468,0.9394,0.41225,0.49361,0.02863,0.23769,0.00746,0,0.003466,0.003466,0.003466
